Customer_Attrition,Gender,Marital_Status,Months_Inactive,Total_Transaction_Amount,Total_Transaction_Count
Existing Customer,M,Married,1,1144,42
Existing Customer,F,Single,1,1291,33
Existing Customer,M,Married,1,1887,20
Existing Customer,F,Unknown,4,1171,20
Existing Customer,M,Married,1,816,28
Existing Customer,M,Married,1,1088,24
Existing Customer,M,Married,1,1330,31
Existing Customer,M,Unknown,2,1538,36
Existing Customer,M,Single,2,1350,24
Existing Customer,M,Single,3,1441,32
Existing Customer,M,Unknown,3,1201,42
Existing Customer,M,Married,2,1314,26
Existing Customer,M,Single,6,1539,17
Existing Customer,M,Unknown,1,1311,33
Existing Customer,F,Married,2,1570,29
Existing Customer,M,Unknown,1,1348,27
Existing Customer,M,Single,2,1671,27
Existing Customer,M,Married,4,1028,21
Existing Customer,M,Married,2,1336,30
Existing Customer,F,Married,1,1207,21
Existing Customer,M,Divorced,2,1178,27
Attrited Customer,F,Married,3,692,16
Existing Customer,M,Married,2,931,18
Existing Customer,F,Single,3,1126,23
Existing Customer,M,Married,2,1110,21
Existing Customer,F,Single,1,1051,22
Existing Customer,M,Unknown,1,1197,23
Existing Customer,M,Married,3,1904,40
Existing Customer,F,Single,2,1052,18
Existing Customer,M,Married,0,1045,38
Existing Customer,M,Married,2,1038,25
Existing Customer,M,Married,5,1596,26
Existing Customer,M,Married,1,1589,24
Existing Customer,F,Married,2,1411,28
Existing Customer,M,Married,2,1291,24
Existing Customer,F,Single,2,1407,43
Existing Customer,F,Married,2,1877,37
Existing Customer,F,Married,3,966,22
Existing Customer,F,Unknown,3,1464,28
Attrited Customer,F,Married,4,704,16
Existing Customer,M,Single,2,1109,28
Existing Customer,M,Married,1,1347,28
Existing Customer,F,Single,2,1756,33
Existing Customer,M,Married,2,1756,32
Existing Customer,F,Single,3,1042,23
Existing Customer,M,Single,2,1444,28
Existing Customer,M,Married,2,1741,27
Existing Customer,M,Married,2,1719,27
Existing Customer,M,Married,3,1217,27
Existing Customer,M,Single,1,1140,40
Existing Customer,F,Married,3,1878,30
Attrited Customer,F,Married,3,705,19
Existing Customer,F,Married,4,1946,38
Existing Customer,M,Married,2,1414,35
Attrited Customer,M,Married,3,602,15
Existing Customer,F,Unknown,4,1052,32
Existing Customer,F,Single,2,1295,40
Existing Customer,M,Married,2,1424,29
Existing Customer,F,Married,1,1359,25
Existing Customer,M,Single,4,1168,27
Existing Customer,M,Married,2,1097,33
Attrited Customer,M,Married,4,691,15
Existing Customer,M,Divorced,3,1316,28
Existing Customer,M,Single,4,1276,26
Existing Customer,M,Single,2,1289,23
Existing Customer,M,Single,1,1293,32
Existing Customer,M,Married,3,1353,35
Existing Customer,F,Single,3,1132,28
Existing Customer,M,Married,2,1670,17
Existing Customer,M,Married,2,837,15
Existing Customer,M,Single,2,1550,41
Existing Customer,F,Married,3,1540,36
Existing Customer,M,Unknown,2,1256,21
